date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-04,0,0,100,100,100,0,0,0,0,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,0,0
2021-10-05,0,0,100,100,100,0,0,0,0,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,0,0
2021-10-06,0,0,100,100,100,0,0,0,0,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,0,0
2021-10-07,0,0,100,100,100,0,0,0,0,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,0,0
2021-10-08,0,0,0,0,100,0,0,0,0,0,64,100,100,100,0,100,0,0,0,100,100,0,0,0,0,0,1,0,0
2021-10-11,0,0,91,0,-99,0,0,0,0,0,0,-100,0,0,0,100,0,0,0,0,0,0,0,-99,0,100,1,0,0
2021-10-12,0,0,100,3,-99,0,0,0,0,0,0,-100,0,1,0,0,0,0,100,0,0,0,0,-99,0,100,0,0,0
2021-10-13,0,0,100,64,-99,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,1,0,-99,0,100,0,0,0
2021-10-14,0,0,100,0,0,0,0,0,0,0,-63,-100,0,0,100,100,0,0,0,0,0,1,0,-100,0,40,0,0,0
2021-10-15,0,0,100,0,0,0,0,0,0,0,-96,-100,0,1,100,100,0,0,0,1,0,0,0,-3,0,22,0,0,0
2021-10-18,0,0,0,0,0,0,0,0,0,0,-84,0,0,100,100,0,0,0,0,0,0,0,0,0,0,35,0,0,0
2021-10-19,0,0,28,0,0,0,0,0,0,0,-99,0,0,100,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0
2021-10-20,0,0,29,0,0,0,0,0,0,0,-99,0,0,100,0,0,0,0,0,1,0,0,0,0,0,100,1,0,0
2021-10-21,0,0,0,0,0,0,0,0,0,0,-23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,100,0,0
2021-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,0,1,0,0,0,0,0,0,44,100,0,0
2021-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,1,0,49,0,0,0,0,0,1,0,0
2021-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,0,0,1,0,0,0,0,0,45,100,0,0
2021-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,8,0,0,0,0,0,0,0,0
2021-12-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
